Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,8939690,-,-,-,-22.82,-47.07,0,609,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2023,1,1,0,0,21.6,1.41,0.168,0.62,0,0,0,0,3,20.5,0,0,0,0,0.271,93.21000000000001,114.66,0.91,0.16,946,3.7,112,1.5
2023,1,1,1,0,20.900000000000002,1.4000000000000001,0.163,0.62,0,0,0,0,3,20.200000000000003,0,0,0,0,0.271,95.57000000000001,124.10000000000001,0.92,0.16,946,3.6,108,1.4000000000000001
2023,1,1,2,0,20.400000000000002,1.3900000000000001,0.155,0.62,0,0,0,0,4,19.900000000000002,0,0,0,0,0.27,97,130.96,0.92,0.16,945,3.5,99,1.4000000000000001
2023,1,1,3,0,20,1.3800000000000001,0.158,0.62,0,0,0,0,3,19.700000000000003,0,0,0,0,0.27,98.19,134.07,0.92,0.16,945,3.5,89,1.4000000000000001
2023,1,1,4,0,19.700000000000003,1.37,0.154,0.62,0,0,0,0,3,19.5,0,0,0,0,0.271,98.76,132.67000000000002,0.92,0.16,944,3.5,81,1.2000000000000002
2023,1,1,5,0,19.400000000000002,1.37,0.145,0.62,0,0,0,0,3,19.3,0,0,0,0,0.271,99.41,127.12,0.92,0.16,944,3.5,76,1
2023,1,1,6,0,19.200000000000003,1.35,0.14400000000000002,0.62,0,0,0,0,3,19.1,0,0,0,0,0.272,99.45,118.54,0.92,0.16,944,3.5,71,0.8
2023,1,1,7,0,19,1.34,0.14200000000000002,0.62,0,0,0,0,3,18.900000000000002,0,0,0,0,0.273,99.53,108.01,0.92,0.16,945,3.5,67,0.8
2023,1,1,8,0,19.1,1.34,0.134,0.62,0,0,0,0,3,18.8,0,0,0,0,0.273,98.36,96.27,0.92,0.16,945,3.6,66,0.9
2023,1,1,9,0,20.400000000000002,1.33,0.134,0.62,38,269,68,7,3,19.5,47,1,7,47,0.273,94.35000000000001,83.65,0.92,0.16,946,3.6,65,1.4000000000000001
2023,1,1,10,0,23.1,1.35,0.127,0.62,80,613,282,0,3,20.3,173,23,0,180,0.274,84.28,70.74,0.92,0.16,946,3.7,34,1.2000000000000002
2023,1,1,11,0,25.8,1.34,0.124,0.62,103,772,518,0,3,20.6,283,46,0,307,0.275,73.13,57.45,0.91,0.16,947,3.7,350,0.9
2023,1,1,12,0,27.400000000000002,1.3,0.10300000000000001,0.62,109,874,739,0,3,20.700000000000003,410,171,0,534,0.275,67.06,43.93,0.91,0.16,946,3.8000000000000003,314,1
2023,1,1,13,0,28.5,1.29,0.11,0.62,123,914,912,0,3,20.8,443,77,0,509,0.275,63.230000000000004,30.26,0.92,0.16,946,3.9000000000000004,289,1.2000000000000002
2023,1,1,14,0,29.200000000000003,1.29,0.117,0.62,132,934,1028,0,0,20.8,132,934,0,1028,0.275,60.58,16.51,0.92,0.16,946,3.9000000000000004,271,1.4000000000000001
2023,1,1,15,0,29.6,1.28,0.11900000000000001,0.62,136,943,1078,0,1,20.6,136,943,0,1078,0.276,58.660000000000004,2.71,0.93,0.16,945,3.9000000000000004,256,1.7000000000000002
2023,1,1,16,0,29.6,1.3,0.123,0.62,137,936,1056,0,7,20.5,104,883,0,970,0.276,58.120000000000005,11.1,0.93,0.16,944,3.9000000000000004,243,1.8
2023,1,1,17,0,29.400000000000002,1.31,0.13,0.62,136,911,962,0,3,20.400000000000002,423,11,0,433,0.276,58.410000000000004,24.88,0.93,0.16,944,3.9000000000000004,227,1.7000000000000002
2023,1,1,18,0,28.900000000000002,1.3,0.153,0.62,138,853,805,0,8,20.3,345,361,0,627,0.277,59.7,38.58,0.9400000000000001,0.16,944,3.9000000000000004,204,1.7000000000000002
2023,1,1,19,0,28.200000000000003,1.31,0.17300000000000001,0.62,130,764,599,0,0,20.200000000000003,130,764,0,599,0.277,62.03,52.17,0.9400000000000001,0.16,943,3.9000000000000004,176,1.7000000000000002
2023,1,1,20,0,27.1,1.32,0.184,0.62,109,624,367,0,0,20.900000000000002,109,624,0,367,0.277,68.92,65.57000000000001,0.9400000000000001,0.16,943,3.9000000000000004,153,1.6
2023,1,1,21,0,25.1,1.32,0.213,0.62,71,344,138,7,8,21.6,90,15,7,92,0.278,80.95,78.67,0.9500000000000001,0.16,944,3.9000000000000004,137,1.4000000000000001
2023,1,1,22,0,23.200000000000003,1.32,0.229,0.62,0,0,0,0,6,21.1,0,0,0,0,0.279,87.8,91.46000000000001,0.96,0.16,944,3.9000000000000004,125,1.5
2023,1,1,23,0,22.5,1.31,0.228,0.62,0,0,0,0,7,20.8,0,0,0,0,0.278,89.92,103.55,0.96,0.16,945,3.8000000000000003,120,2.1
2023,1,2,0,0,21.8,1.29,0.23,0.62,0,0,0,0,8,20.6,0,0,0,0,0.277,92.68,114.63,0.96,0.17,945,3.8000000000000003,116,2.2
2023,1,2,1,0,21.200000000000003,1.28,0.232,0.62,0,0,0,0,7,20.3,0,0,0,0,0.277,94.78,124.10000000000001,0.96,0.17,945,3.8000000000000003,114,2.2
2023,1,2,2,0,20.8,1.27,0.225,0.62,0,0,0,0,7,20.1,0,0,0,0,0.276,95.65,131,0.96,0.17,945,3.8000000000000003,115,2
2023,1,2,3,0,20.3,1.26,0.22,0.62,0,0,0,0,7,19.8,0,0,0,0,0.276,96.87,134.14000000000001,0.96,0.17,944,3.8000000000000003,115,1.7000000000000002
2023,1,2,4,0,19.900000000000002,1.26,0.218,0.62,0,0,0,0,0,19.5,0,0,0,0,0.275,97.44,132.77,0.9500000000000001,0.17,944,3.7,114,1.6
2023,1,2,5,0,19.6,1.25,0.218,0.62,0,0,0,0,0,19.200000000000003,0,0,0,0,0.273,97.35000000000001,127.25,0.9500000000000001,0.17,943,3.7,112,1.5
2023,1,2,6,0,19.200000000000003,1.25,0.223,0.62,0,0,0,0,0,18.900000000000002,0,0,0,0,0.272,97.94,118.68,0.9500000000000001,0.17,943,3.7,109,1.4000000000000001
2023,1,2,7,0,18.900000000000002,1.25,0.22,0.62,0,0,0,0,0,18.6,0,0,0,0,0.272,98.02,108.15,0.9500000000000001,0.17,944,3.6,105,1.1
2023,1,2,8,0,18.8,1.26,0.20800000000000002,0.62,0,0,0,0,3,18.400000000000002,0,0,0,0,0.273,97.51,96.41,0.9400000000000001,0.17,944,3.5,97,1.1
2023,1,2,9,0,20,1.27,0.199,0.62,42,198,63,7,3,18.900000000000002,44,0,7,44,0.272,93.38,83.78,0.9400000000000001,0.17,944,3.5,82,1.6
2023,1,2,10,0,22.6,1.3,0.181,0.62,95,551,275,0,0,19.8,95,551,0,275,0.272,84.42,70.87,0.9400000000000001,0.17,945,3.5,50,1.3
2023,1,2,11,0,25.6,1.31,0.17400000000000002,0.62,122,726,511,0,0,20.1,122,726,0,511,0.272,71.66,57.57,0.93,0.17,945,3.5,352,1.2000000000000002
2023,1,2,12,0,27.200000000000003,1.19,0.111,0.62,115,868,739,0,7,20.1,249,585,0,670,0.272,65.29,44.050000000000004,0.93,0.17,945,3.6,310,1.6
2023,1,2,13,0,28,1.18,0.121,0.62,130,908,914,0,0,20.3,130,908,0,914,0.273,62.88,30.38,0.93,0.17,944,3.6,299,1.9000000000000001
2023,1,2,14,0,28.5,1.19,0.125,0.62,138,931,1030,0,3,20.400000000000002,439,8,0,447,0.273,61.56,16.62,0.93,0.17,944,3.7,294,2.1
2023,1,2,15,0,29.1,1.2,0.124,0.62,139,940,1079,0,3,20.5,551,196,0,747,0.272,59.85,2.82,0.92,0.17,943,3.8000000000000003,290,2.1
2023,1,2,16,0,29.400000000000002,1.21,0.126,0.62,139,935,1057,0,3,20.5,554,264,0,813,0.271,58.74,10.99,0.92,0.17,942,3.8000000000000003,286,1.9000000000000001
2023,1,2,17,0,29.1,1.22,0.123,0.62,133,918,966,0,0,20.3,133,918,0,966,0.27,59.19,24.78,0.92,0.17,941,3.8000000000000003,282,1.7000000000000002
2023,1,2,18,0,28.900000000000002,1.25,0.164,0.62,143,845,804,0,8,20.200000000000003,229,669,0,752,0.269,59.51,38.49,0.93,0.17,941,3.9000000000000004,278,1.5
2023,1,2,19,0,28.400000000000002,1.27,0.169,0.62,129,768,601,0,7,20.200000000000003,289,254,0,445,0.268,61.06,52.08,0.93,0.17,940,3.9000000000000004,269,1.3
2023,1,2,20,0,27.700000000000003,1.28,0.17400000000000002,0.62,105,633,367,0,7,20.8,100,3,0,101,0.268,66.16,65.49,0.92,0.17,941,4,264,0.9
2023,1,2,21,0,26.200000000000003,1.28,0.182,0.62,65,374,139,0,7,21.400000000000002,4,0,0,4,0.267,75.14,78.60000000000001,0.92,0.17,941,4,285,0.5
2023,1,2,22,0,24.900000000000002,1.29,0.183,0.62,0,0,0,0,6,20.900000000000002,0,0,0,0,0.267,78.72,91.4,0.92,0.17,941,4,346,0.5
2023,1,2,23,0,23.8,1.29,0.188,0.62,0,0,0,0,7,21.1,0,0,0,0,0.266,84.93,103.51,0.92,0.17,942,4.1000000000000005,10,0.7000000000000001
2023,1,3,0,0,22.8,1.29,0.199,0.62,0,0,0,0,7,21,0,0,0,0,0.266,89.85000000000001,114.61,0.92,0.16,942,4.2,5,0.8
2023,1,3,1,0,22.200000000000003,1.28,0.211,0.62,0,0,0,0,7,20.900000000000002,0,0,0,0,0.265,92.32000000000001,124.11,0.92,0.16,942,4.3,357,0.9
2023,1,3,2,0,21.8,1.28,0.215,0.62,0,0,0,0,6,20.8,0,0,0,0,0.264,94.21000000000001,131.04,0.93,0.16,941,4.3,350,1
2023,1,3,3,0,21.400000000000002,1.28,0.21,0.62,0,0,0,0,6,20.700000000000003,0,0,0,0,0.264,95.67,134.23,0.93,0.16,940,4.3,346,1
2023,1,3,4,0,21,1.28,0.20800000000000002,0.62,0,0,0,0,7,20.5,0,0,0,0,0.265,97.02,132.89000000000001,0.93,0.16,940,4.3,344,1
2023,1,3,5,0,20.8,1.28,0.20700000000000002,0.62,0,0,0,0,8,20.400000000000002,0,0,0,0,0.266,97.53,127.38000000000001,0.9400000000000001,0.16,940,4.3,345,1.4000000000000001
2023,1,3,6,0,20.6,1.27,0.20600000000000002,0.62,0,0,0,0,1,20.3,0,0,0,0,0.266,98.03,118.82000000000001,0.9400000000000001,0.16,940,4.3,347,1.8
2023,1,3,7,0,20.400000000000002,1.28,0.196,0.62,0,0,0,0,8,20.1,0,0,0,0,0.266,98.25,108.29,0.9400000000000001,0.16,940,4.3,350,1.8
2023,1,3,8,0,20.3,1.29,0.183,0.62,0,0,0,0,3,20,0,0,0,0,0.266,98.14,96.55,0.9400000000000001,0.16,941,4.2,349,1.9000000000000001
2023,1,3,9,0,21.1,1.29,0.185,0.62,40,201,61,7,7,20.400000000000002,44,3,7,44,0.266,95.93,83.91,0.9400000000000001,0.16,942,4.1000000000000005,343,2.5
2023,1,3,10,0,22.8,1.29,0.188,0.62,96,534,270,0,3,21,182,131,0,225,0.267,89.59,71,0.9500000000000001,0.16,942,4.1000000000000005,330,3
2023,1,3,11,0,24.5,1.29,0.18,0.62,125,711,505,0,3,20.900000000000002,300,198,0,406,0.268,80.28,57.7,0.9500000000000001,0.16,943,4.1000000000000005,323,3.5
2023,1,3,12,0,25.8,1.31,0.168,0.62,140,814,724,0,1,20.8,140,814,0,724,0.268,73.78,44.17,0.9500000000000001,0.16,943,4.1000000000000005,323,3.9000000000000004
2023,1,3,13,0,26.8,1.32,0.162,0.62,149,871,899,0,3,20.700000000000003,494,200,0,667,0.268,69.07000000000001,30.5,0.9500000000000001,0.16,943,4.2,323,4.2
2023,1,3,14,0,27.3,1.3,0.166,0.62,158,894,1015,0,3,20.400000000000002,489,61,0,547,0.267,65.93,16.73,0.9500000000000001,0.16,942,4.4,323,4.3
2023,1,3,15,0,27.400000000000002,1.29,0.162,0.62,159,906,1064,0,7,20.3,403,13,0,415,0.266,65.1,2.92,0.9500000000000001,0.16,941,4.6000000000000005,322,4.3
2023,1,3,16,0,27.700000000000003,1.28,0.166,0.62,160,898,1041,0,7,20.3,399,15,0,414,0.266,64.19,10.89,0.9500000000000001,0.16,941,4.7,321,4.3
2023,1,3,17,0,27.700000000000003,1.25,0.171,0.62,157,872,949,0,4,20.200000000000003,253,0,0,254,0.265,63.56,24.68,0.9500000000000001,0.16,941,4.800000000000001,320,4.2
2023,1,3,18,0,27.3,1.24,0.176,0.62,149,826,796,0,4,20.1,286,1,0,287,0.265,64.84,38.4,0.9500000000000001,0.16,940,4.800000000000001,319,3.9000000000000004
2023,1,3,19,0,26.5,1.23,0.17,0.62,130,757,597,0,7,20.3,16,0,0,16,0.265,68.77,52,0.9500000000000001,0.16,940,4.800000000000001,320,3.4000000000000004
2023,1,3,20,0,25.400000000000002,1.24,0.161,0.62,103,638,369,0,7,21,206,150,0,269,0.265,76.63,65.41,0.9500000000000001,0.16,941,4.800000000000001,323,2.5
2023,1,3,21,0,23.8,1.25,0.152,0.62,63,402,143,0,3,21.700000000000003,74,1,0,74,0.265,88.2,78.53,0.9500000000000001,0.16,941,4.800000000000001,330,1.3
2023,1,3,22,0,22.400000000000002,1.25,0.145,0.62,0,0,0,0,3,21.3,0,0,0,0,0.266,93.62,91.35000000000001,0.9400000000000001,0.16,941,4.800000000000001,335,1
2023,1,3,23,0,22,1.26,0.139,0.62,0,0,0,0,5,21.1,0,0,0,0,0.265,94.77,103.47,0.9400000000000001,0.16,942,4.800000000000001,340,1.1
2023,1,4,0,0,21.6,1.27,0.131,0.62,0,0,0,0,5,20.900000000000002,0,0,0,0,0.265,95.81,114.60000000000001,0.9400000000000001,0.21,942,4.7,346,1.2000000000000002
2023,1,4,1,0,21.3,1.28,0.126,0.62,0,0,0,0,7,20.700000000000003,0,0,0,0,0.264,96.38,124.12,0.93,0.21,942,4.7,352,1.3
2023,1,4,2,0,21,1.26,0.132,0.62,0,0,0,0,8,20.5,0,0,0,0,0.264,97.24000000000001,131.09,0.93,0.21,941,4.7,342,1.5
2023,1,4,3,0,20.900000000000002,1.24,0.14300000000000002,0.62,0,0,0,0,5,20.5,0,0,0,0,0.264,97.61,134.32,0.9400000000000001,0.21,941,4.7,332,1.6
2023,1,4,4,0,20.8,1.24,0.14,0.62,0,0,0,0,3,20.5,0,0,0,0,0.264,97.9,133.01,0.9400000000000001,0.21,941,4.7,338,1.6
2023,1,4,5,0,20.700000000000003,1.24,0.135,0.62,0,0,0,0,7,20.3,0,0,0,0,0.264,97.82000000000001,127.52,0.9400000000000001,0.21,940,4.6000000000000005,343,1.8
2023,1,4,6,0,20.6,1.23,0.14200000000000002,0.62,0,0,0,0,6,20.3,0,0,0,0,0.265,97.91,118.96000000000001,0.9400000000000001,0.21,940,4.5,339,1.8
2023,1,4,7,0,20.400000000000002,1.22,0.147,0.62,0,0,0,0,6,20.200000000000003,0,0,0,0,0.266,98.54,108.43,0.9500000000000001,0.21,940,4.6000000000000005,335,1.6
2023,1,4,8,0,20.400000000000002,1.22,0.14300000000000002,0.62,0,0,0,0,7,20.1,0,0,0,0,0.267,98.32000000000001,96.69,0.9400000000000001,0.21,941,4.6000000000000005,338,1.5
2023,1,4,9,0,20.900000000000002,1.21,0.14200000000000002,0.62,38,229,62,7,7,20.400000000000002,28,0,7,28,0.267,97.2,84.05,0.9500000000000001,0.21,942,4.7,344,2.1
2023,1,4,10,0,21.8,1.23,0.136,0.62,84,583,272,0,7,20.900000000000002,119,13,0,123,0.267,94.59,71.13,0.9400000000000001,0.21,942,4.6000000000000005,335,2.6
2023,1,4,11,0,23.400000000000002,1.26,0.12,0.62,104,762,510,0,8,21.200000000000003,251,224,0,370,0.267,87.53,57.82,0.9400000000000001,0.21,942,4.6000000000000005,326,3.3000000000000003
2023,1,4,12,0,25.200000000000003,1.16,0.116,0.62,119,850,728,0,8,20.8,313,37,0,339,0.266,76.53,44.29,0.9400000000000001,0.21,942,4.6000000000000005,318,3.9000000000000004
2023,1,4,13,0,26.1,1.19,0.10300000000000001,0.62,123,909,905,0,7,20.200000000000003,369,20,0,386,0.266,70.09,30.61,0.93,0.21,942,4.7,315,4.2
2023,1,4,14,0,26.400000000000002,1.19,0.10200000000000001,0.62,128,936,1024,0,7,20,426,94,0,515,0.266,68.12,16.84,0.93,0.21,942,4.7,313,4.3
2023,1,4,15,0,26.3,1.19,0.10300000000000001,0.62,131,944,1074,0,3,20.1,547,313,0,859,0.265,68.71000000000001,3.0300000000000002,0.93,0.21,941,4.800000000000001,311,4.2
2023,1,4,16,0,26.3,1.19,0.10300000000000001,0.62,130,940,1053,0,3,20.3,530,175,0,702,0.264,69.45,10.790000000000001,0.93,0.21,941,4.9,309,3.8000000000000003
2023,1,4,17,0,25.900000000000002,1.19,0.101,0.62,124,922,963,0,3,20.5,384,3,0,387,0.264,72.32000000000001,24.59,0.93,0.21,940,5,307,3.1
2023,1,4,18,0,25.3,0.9400000000000001,0.162,0.62,148,829,799,0,3,20.900000000000002,440,116,0,530,0.263,76.8,38.31,0.9500000000000001,0.21,940,5.2,309,2.5
2023,1,4,19,0,24.3,0.9,0.165,0.62,133,751,597,0,8,21.400000000000002,282,220,0,418,0.263,84.06,51.92,0.9500000000000001,0.21,940,5.300000000000001,318,1.9000000000000001
2023,1,4,20,0,23.400000000000002,0.89,0.17,0.62,110,616,367,0,7,21.900000000000002,183,25,0,193,0.262,91.43,65.34,0.9500000000000001,0.21,940,5.300000000000001,333,1.5
2023,1,4,21,0,22.8,0.93,0.18,0.62,70,352,140,0,7,22,24,0,0,24,0.262,95.26,78.47,0.96,0.21,940,5.300000000000001,351,1.1
2023,1,4,22,0,22.200000000000003,0.9400000000000001,0.171,0.62,0,0,0,0,6,21.8,0,0,0,0,0.262,97.55,91.3,0.96,0.21,941,5.2,14,0.7000000000000001
2023,1,4,23,0,21.900000000000002,0.93,0.148,0.62,0,0,0,0,7,21.400000000000002,0,0,0,0,0.262,97.26,103.44,0.9500000000000001,0.21,941,5.2,56,0.7000000000000001
2023,1,5,0,0,21.5,0.9500000000000001,0.158,0.62,0,0,0,0,7,21,0,0,0,0,0.262,97.23,114.59,0.9500000000000001,0.22,942,5.2,94,1.2000000000000002
2023,1,5,1,0,21,0.97,0.158,0.62,0,0,0,0,7,20.5,0,0,0,0,0.262,97.12,124.14,0.9500000000000001,0.22,941,5.300000000000001,110,2.1
2023,1,5,2,0,20.5,1.01,0.131,0.62,0,0,0,0,5,19.900000000000002,0,0,0,0,0.262,96.62,131.15,0.9400000000000001,0.22,941,5.2,121,2.4000000000000004
2023,1,5,3,0,20,1.07,0.14200000000000002,0.62,0,0,0,0,5,19.400000000000002,0,0,0,0,0.262,96.46000000000001,134.41,0.9500000000000001,0.22,940,5.2,132,2.4000000000000004
2023,1,5,4,0,19.6,1.11,0.135,0.62,0,0,0,0,5,19,0,0,0,0,0.262,96.56,133.14000000000001,0.9400000000000001,0.22,940,5.1000000000000005,150,2.2
2023,1,5,5,0,19.200000000000003,1.1400000000000001,0.109,0.62,0,0,0,0,4,18.6,0,0,0,0,0.262,96.5,127.67,0.91,0.22,940,5,168,2.2
2023,1,5,6,0,18.8,1.16,0.12,0.62,0,0,0,0,8,18.2,0,0,0,0,0.261,96.05,119.11,0.92,0.22,940,4.800000000000001,166,2.3000000000000003
2023,1,5,7,0,18.400000000000002,1.16,0.12,0.62,0,0,0,0,7,17.7,0,0,0,0,0.26,95.71000000000001,108.58,0.92,0.22,941,4.7,158,2.4000000000000004
2023,1,5,8,0,18.1,1.16,0.1,0.62,0,0,0,0,3,17.400000000000002,0,0,0,0,0.26,95.53,96.83,0.92,0.22,942,4.7,156,2.5
2023,1,5,9,0,18.2,1.1500000000000001,0.098,0.62,34,278,62,7,3,17.3,23,0,7,23,0.26,94.55,84.18,0.93,0.22,943,4.6000000000000005,155,3
2023,1,5,10,0,18.900000000000002,1.1400000000000001,0.10200000000000001,0.62,75,622,275,0,8,17.3,71,2,0,71,0.26,90.15,71.26,0.9400000000000001,0.22,943,4.6000000000000005,150,3.6
2023,1,5,11,0,20,1.1300000000000001,0.101,0.62,98,779,511,0,5,17.2,189,1,0,190,0.261,84.17,57.95,0.9400000000000001,0.22,944,4.6000000000000005,146,3.8000000000000003
2023,1,5,12,0,21.5,1.11,0.106,0.62,115,858,728,0,5,17.400000000000002,352,34,0,376,0.261,77.59,44.410000000000004,0.9400000000000001,0.22,944,4.6000000000000005,141,3.6
2023,1,5,13,0,22.900000000000002,1.1,0.111,0.62,129,902,905,0,8,17.7,331,16,0,345,0.261,72.73,30.73,0.9500000000000001,0.22,944,4.6000000000000005,138,3.3000000000000003
2023,1,5,14,0,23.900000000000002,1.09,0.114,0.62,137,926,1023,0,5,18.1,323,1,0,323,0.261,69.84,16.96,0.9500000000000001,0.22,943,4.7,139,3
2023,1,5,15,0,24.400000000000002,1.09,0.126,0.62,147,928,1073,0,5,18.3,187,0,0,187,0.261,68.75,3.14,0.9500000000000001,0.22,943,4.7,144,2.7
2023,1,5,16,0,24.5,1.1,0.133,0.62,149,919,1052,0,8,18.400000000000002,324,5,0,328,0.261,68.8,10.69,0.96,0.22,943,4.7,150,2.7
2023,1,5,17,0,24.3,1.08,0.138,0.62,147,895,961,0,7,18.400000000000002,177,1,0,178,0.26,69.82000000000001,24.490000000000002,0.96,0.22,943,4.7,152,2.9000000000000004
2023,1,5,18,0,23.8,1.07,0.158,0.62,147,839,806,0,4,18.400000000000002,153,0,0,153,0.26,71.85000000000001,38.22,0.96,0.22,943,4.7,150,3.2
2023,1,5,19,0,23,1.05,0.171,0.62,136,754,602,0,4,18.400000000000002,154,0,0,154,0.261,75.29,51.84,0.96,0.22,943,4.7,147,3.4000000000000004
2023,1,5,20,0,21.8,1.02,0.164,0.62,108,631,372,0,5,18.5,98,0,0,98,0.261,81.36,65.27,0.96,0.22,943,4.7,146,3.3000000000000003
2023,1,5,21,0,20.3,1,0.168,0.62,69,375,144,0,4,18.2,13,0,0,13,0.261,87.7,78.41,0.97,0.22,944,4.6000000000000005,144,3.2
2023,1,5,22,0,19.200000000000003,1.02,0.161,0.62,0,0,0,0,7,17.6,0,0,0,0,0.263,90.74,91.26,0.97,0.22,944,4.6000000000000005,143,3.2
2023,1,5,23,0,18.5,1.04,0.138,0.62,0,0,0,0,7,17.3,0,0,0,0,0.264,92.60000000000001,103.41,0.96,0.22,945,4.5,144,3.2
